Original, Converted
--------------------------------------------------------------------------------
al', alʿ
aruw'el, aruwʿel
bala', balaʿ
balya'al, balyaʿal
baqa', baqaʿ
baqya', baqyaʿ
baq'ah, baqʿah
bara', baraʿ
bare'syth, bareʿsyth
barya', baryaʿ
barya'ah, baryaʿah
bary', baryʿ
bathuw'el, bathuwʿel
batsa', batsaʿ
baza', bazaʿ
ba'ad, baʿad
ba'ah, baʿah
ba'al, baʿal
ba'al-peor, baʿal-peor
ba'al-zebub, baʿal-zebub
ba'al-zebuwb, baʿal-zebuwb
ba'alah, baʿalah
ba'althy, baʿalthy
ba'aly, baʿaly
ba'alym, baʿalym
ba'alzebub, baʿalzebub
ba'al's, baʿalʿs
ba'ar, baʿar
ba'ash, baʿash
ba'ath, baʿath
ba'a', baʿaʿ
ba'er, baʿer
ba'ery, baʿery
ba'osh, baʿosh
ba'r, baʿr
ba'rsheba', baʿrshebaʿ
ba'ulah, baʿulah
ba'yr, baʿyr
belsha'tsar, belshaʿtsar
beltasha'tsar, beltashaʿtsar
bel'sha'tsar, belʿshaʿtsar
ben-'amy, ben-ʿamy
betsa', betsaʿ
beyth'el, beythʿel
be'er, beʿer
be'ry, beʿry
biqa'ah, biqaʿah
biq'ah, biqʿah
bi'ah, biʿah
bo'ser, boʿser
b'atah, bʿatah
chaba', chabaʿ
chanan'el, chananʿel
chata', chataʿ
chata'ach, chataʿach
chata'ah, chataʿah
chata'ath, chataʿath
chata'ch, chataʿch
chata'owth, chataʿowth
chata'th, chataʿth
chat'ah, chatʿah
chaya', chayaʿ
chema', chemaʿ
chema'ah, chemaʿah
chem'ah, chemʿah
cheta', chetaʿ
cheta'ah, chetaʿah
chete', cheteʿ
daka', dakaʿ
dama', damaʿ
dany'el, danyʿel
dan'el, danʿel
dar'yawesh, darʿyawesh
dasha', dashaʿ
dashe', dasheʿ
da', daʿ
da'ab, daʿab
da'agah, daʿagah
da'ah, daʿah
da'ak, daʿak
da'ath, daʿath
dera'own, deraʿown
deshe', desheʿ
de'ah, deʿah
dima'ah, dimaʿah
dim'ah, dimʿah
dobe', dobeʿ
gabry'el, gabryʿel
gaby'a, gabyʿa
gada', gadaʿ
gala', galaʿ
gama', gamaʿ
gara', garaʿ
gawa', gawaʿ
gay', gayʿ
ga'al, gaʿal
ga'ar, gaʿar
ga'arah, gaʿarah
ga'ash, gaʿash
ga'awah, gaʿawah
ga'on, gaʿon
ga'owah, gaʿowah
ga'own, gaʿown
ga'ulah, gaʿulah
geba', gebaʿ
geza', gezaʿ
ge', geʿ
ge'eh, geʿeh
giba'ah, gibaʿah
gibo'l, giboʿl
gib'ah, gibʿah
gib'ol, gibʿol
gib'own, gibʿown
gilbo'a, gilboʿa
gile'ad, gileʿad
gil'ad, gilʿad
gome', gomeʿ
go'al, goʿal
hala'ah, halaʿah
halo', haloʿ
hal'ah, halʿah
har'el, harʿel
hashma'uwth, hashmaʿuwth
hat-ta'awah, hat-taʿawah
hata', hataʿ
he', heʿ
he'ach, heʿach
he'ah, heʿah
howsha', howshaʿ
huw', huwʿ
hu', huʿ
hy'm, hyʿm
kala', kalaʿ
kaluwa', kaluwaʿ
kaly', kalyʿ
kana', kanaʿ
kana'an, kanaʿan
kan'an, kanʿan
kan'aow, kanʿaow
kara', karaʿ
karse', karseʿ
ka'ab, kaʿab
ka'ah, kaʿah
ka'aruw, kaʿaruw
ka'ary, kaʿary
ka'as, kaʿas
ka'asher, kaʿasher
ka'eb, kaʿeb
kele', keleʿ
kese', keseʿ
kina'ah, kinaʿah
kise', kiseʿ
kowba', kowbaʿ
ky', kyʿ
la-ma'an, la-maʿan
labow', labowʿ
labya', labyaʿ
laby', labyʿ
lama'an, lamaʿan
la', laʿ
la'ag, laʿag
la'ah, laʿah
la'anah, laʿanah
la'om, laʿom
la'omym, laʿomym
la'owm, laʿowm
lebowa', lebowaʿ
le'ma'an, leʿmaʿan
le'om, leʿom
lowt's, lowtʿs
luwle', luwleʿ
mabowa', mabowaʿ
mabow', mabowʿ
mabuwa', mabuwaʿ
macha', machaʿ
mach'azah, machʿazah
mada', madaʿ
maduwa', maduwaʿ
mahalal'el, mahalalʿel
mak'ob, makʿob
mala'kah, malaʿkah
mala'lal, malaʿlal
male', maleʿ
malkyshuwa', malkyshuwaʿ
malo', maloʿ
mal'ak, malʿak
mal'aky, malʿaky
mal'akym, malʿakym
mamre', mamreʿ
mana', manaʿ
mara', maraʿ
mara'ah, maraʿah
mara'showth, maraʿshowth
mare', mareʿ
mare'ah, mareʿah
margowa', margowaʿ
marpe', marpeʿ
marphe', marpheʿ
mary', maryʿ
mar'ah, marʿah
mar'eh, marʿeh
mar'iyth, marʿiyth
mashe'nah, masheʿnah
mash'en, mashʿen
mas'eth, masʿeth
mata', mataʿ
