Original, Converted (Definition-Refined)
--------------------------------------------------------------------------------
'a'lah, ʾaʿlah
'ab, ʾab
'ab'atem, ʾabʾatem
'aba'bu'oth, ʾabaʿbuʿoth
'abad, ʾabad
'abadown, ʾabadown
'abah, ʾabah
'abak, ʾabak
'abal, ʾabal
'abaq, ʾabaq
'abar, ʾabar
'abarakah, ʾabarakah
'abat, ʾabat
'abed, ʾabed
'abel, ʾabel
'aben, ʾaben
'abodah, ʾabodah
'aboth, ʾaboth
'abowth, ʾabowth
'abowthym, ʾabowthym
'abraham, ʾabraham
'abraham's, ʾabrahamʾs
'abram, ʾabram
'abshalowm, ʾabshalowm
'abtyt, ʾabtyt
'abuwr, ʾabuwr
'aby, ʾaby
'aby'el, ʾabyʿel
'abyah, ʾabyah
'abyb, ʾabyb
'abydah, ʾabydah
'abyhuw', ʾabyhuwʿ
'abym, ʾabym
'abymelek, ʾabymelek
'abynadab, ʾabynadab
'abyno'am, ʾabynoʿam
'abyr, ʾabyr
'abyram, ʾabyram
'ach, ʾach
'ach'ab, ʾachʿab
'achaaryth, ʾachaaryth
'achab, ʾachab
'achad, ʾachad
'achalay, ʾachalay
'achar, ʾachar
'acharown, ʾacharown
'achary, ʾachary
'acharyth, ʾacharyth
'achashwerowsh, ʾachashwerowsh
'achawah, ʾachawah
'achaz, ʾachaz
'achazyah, ʾachazyah
'acher, ʾacher
'achoran, ʾachoran
'achoranyth, ʾachoranyth
'achowr, ʾachowr
'achowth, ʾachowth
'achuwz, ʾachuwz
'achuzah, ʾachuzah
'achy, ʾachy
'ad, ʾad
'ada', ʾadaʿ
'adah, ʾadah
'adam, ʾadam
'adamah, ʾadamah
'adamym, ʾadamym
'adan, ʾadan
'adar, ʾadar
'adash, ʾadash
'adashym, ʾadashym
'adayn, ʾadayn
'adayr, ʾadayr
'adereth, ʾadereth
'admah, ʾadmah
'admowny, ʾadmowny
'adom, ʾadom
'adonai, ʾadonai
'adony, ʾadony
'adonym, ʾadonym
'adown, ʾadown
'adowny, ʾadowny
'ady, ʾady
'adyr, ʾadyr
'agab, ʾagab
'agalah, ʾagalah
'agam, ʾagam
'agaph, ʾagaph
'agar, ʾagar
'agmown, ʾagmown
'agol, ʾagol
'agudah, ʾagudah
'aguwr, ʾaguwr
'ah, ʾah
'ahab, ʾahab
'ahabah, ʾahabah
'ahabym, ʾahabym
'ahah, ʾahah
'ahal, ʾahal
'ahalym, ʾahalym
'aharown, ʾaharown
'aharown's, ʾaharownʿs
'ahem, ʾahem
'aher, ʾaher
'ahsan, ʾahsan
'ak, ʾak
'akabysh, ʾakabysh
'akad, ʾakad
'akal, ʾakal
'akar, ʾakar
'akas, ʾakas
'akbar, ʾakbar
'akel, ʾakel
'aken, ʾaken
'aklah, ʾaklah
