Word                                     File                                                                    Page
---------------------------------------------------------------------------------------------------------------------
‘Chephtsy                                YY-s01v01-An Intro to God-Dabarym-Words.docx                               1
‘Baʿulah                                 YY-s01v01-An Intro to God-Dabarym-Words.docx                               1
‘Shalowm                                 YY-s01v01-An Intro to God-Dabarym-Words.docx                             560
‘Moseh                                   YY-s01v01-An Intro to God-Dabarym-Words.docx                               1
Yahuwda’y                                YY-s01v01-An Intro to God-Dabarym-Words.docx                             560
‘halak                                   YY-s01v02-An Intro to God-Mitswah-Instructions.docx                        1
‘kalah                                   YY-s01v02-An Intro to God-Mitswah-Instructions.docx                        1
‘ʾEhayah                                 YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                            1
‘yimmach                                 YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                            1
‘hem                                     YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                            1
‘barak                                   YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                            1
‘qodesh                                  YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                           16
‘Hayah                                   YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                       357
‘Babel                                   YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                            1
‘Ben                                     YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                            1
‘tsabaʾ                                  YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                            1
‘Yitschaq                                YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                         408
‘ba                                      YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                           1
‘loʾ                                     YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                           1
‘kol                                     YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                           1
‘Malaʾkah                                YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                           1
‘Matsah                                  YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                           1
‘pan                                     YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                                1
‘Chephtsy                                YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                               41
‘Baʿulah                                 YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                               41
‘Yisraʾel                                YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                               41
‘ʾamen                                   YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                                1
‘HaShem                                  YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                               41
‘Howy                                    YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                            1
‘Howy                                    YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                            1
‘Yisraʾel                                YY-s02v08-Yada Yahowah-'Azab-Separation.docx                             575
‘ʾEphraym                                YY-s02v08-Yada Yahowah-'Azab-Separation.docx                               1
