Fixed Word                               Original Word                  File                                                              Page   Method
---------------------------------------- ------------------------------ ----------------------------------------------------------------- ------ --------------------
ʾanah                                    'anah                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       21     blb
ʾesheh                                   'esheh                         YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾhuwʾ                                    'huwʾ                          YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   277    hebrew-pattern
ʾRuwach                                  'Ruwach                        YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   277    heuristic
alʾ                                      al’                            YY-s03v04-Observations-Teaching.docx                              237    hebrew-pattern
anypokritosʿ                             anypokritos’                   YY-s06v02-Twistianity-Towrahless.docx                             1      heuristic
arowʿer                                  arow’er                        YY-s03v05-Observations-Understanding.docx                         278    heuristic
Arowʿer                                  Arow’er                        YY-s03v05-Observations-Understanding.docx                         279    heuristic
auliyaʾ                                  auliya’                        YY-s03v05-Observations-Understanding.docx                         107    heuristic
bʿmitzvotav                              b'mitzvotav                    YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     388    heuristic
ba-areʿsyth                              ba-are’syth                    YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     heuristic
ba-baʿal                                 ba-ba’al                       YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           6      blb
ba-huwʾ                                  ba-huw’                        YY-s04v04-Coming Home-Basar-Herald.docx                           133    hebrew-pattern
Ba-reʾshyth                              Ba-re’shyth                    YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     hebrew-pattern
Balaʿam                                  Bala’am                        YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           148    hebrew-pattern
balaʿdey                                 bala’dey                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
balʿady                                  bal’ady                        YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     hebrew-pattern
Bar-Iesousʾ                              Bar-Iesous’                    YY-s03v05-Observations-Understanding.docx                         270    heuristic
baraʾ                                    bara’                          YY-s02v07-Yada Yahowah-Shanah-Years.docx                          291    blb
Bath-Shebaʿ                              Bath-Sheba’                    YY-s04v04-Coming Home-Basar-Herald.docx                           425    hebrew-pattern
Bathshebaʿ                               Bathsheba’                     YY-s04v04-Coming Home-Basar-Herald.docx                           411    hebrew-pattern
baʿad                                    ba’ad                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
baʿal                                    ba’al                          YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     503    blb
baʿalthy                                 ba’althy                       YY-s05v03-Babel-Chemah-Venomous.docx                              184    heuristic
baʿyr                                    ba’yr                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
belaʿ                                    bela’                          YY-s06v02-Twistianity-Towrahless.docx                             1      blb
Ben-ʿOwny                                Ben-‘Owny                      YY-s06v02-Twistianity-Towrahless.docx                             1      heuristic
Benʿowny                                 Ben’owny                       YY-s06v02-Twistianity-Towrahless.docx                             1      heuristic
betsaʿ                                   betsa’                         YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
Beyth-ʾAown                              Beyth-‘Aown                    YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      302    hebrew-pattern
be ʿisharown                             be ‘isharown                   YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  411    heuristic
biʿuwth                                  bi’uwth                        YY-s02v07-Yada Yahowah-Shanah-Years.docx                          325    heuristic
bowʾ                                     bow’                           YY-s04v04-Coming Home-Basar-Herald.docx                           38     hebrew-pattern
Bowʾ                                     Bow’                           YY-s04v04-Coming Home-Basar-Herald.docx                           170    hebrew-pattern
Boʿaz                                    Bo’az                          YY-s04v04-Coming Home-Basar-Herald.docx                           348    blb
BʿAv                                     B’Av                           YY-s05v01-Babel-Chywah-Beast.docx                                 135    hebrew-pattern
chataʾ                                   chata’                         YY-s02v07-Yada Yahowah-Shanah-Years.docx                          159    hebrew-pattern
chataʾah                                 chata’ah                       YY-s04v04-Coming Home-Basar-Herald.docx                           110    hebrew-pattern
chataʾh                                  chata’h                        YY-s05v03-Babel-Chemah-Venomous.docx                              46     hebrew-pattern
chataʾt                                  chata’t                        YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  123    hebrew-pattern
chataʿym                                 chata’ym                       YY-s04v04-Coming Home-Basar-Herald.docx                           448    heuristic
chatʾah                                  chat’ah                        YY-s02v07-Yada Yahowah-Shanah-Years.docx                          152    hebrew-pattern
chavaʾ                                   chava’                         YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   304    hebrew-pattern
chelaʾah                                 chela’ah                       YY-s05v02-Babel-Tow'ebah-Abominable.docx                          399    hebrew-pattern
Choryʾ                                   Chory’                         YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           427    heuristic
dʿêtre                                   d'être                         YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                173    heuristic
damaʿah                                  dama’ah                        YY-s05v02-Babel-Tow'ebah-Abominable.docx                          405    hebrew-pattern
daʾag                                    da’ag                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     blb
daʿath                                   da’ath                         YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                90     hebrew-pattern
Daʿath                                   Da’ath                         YY-s04v04-Coming Home-Basar-Herald.docx                           24     hebrew-pattern
