# strongs	hebrew	transliteration
0001	אָב	'ab
0002	אַב	'ab
0003	אֵב	'eb
0004	אֵב	'eb
0005	אֲבַגְתָא	'Abagtha'
0006	אָבַד	'abad
0007	אַבַד	'abad
0008	אֹבֵד	'obed
0009	אֲבֵדָה	'abedah
0010	אֲבַדּוֹ	'abaddoh
0011	אֲבַדּוֹן	'abaddown
0012	אַבְדָן	'abdan
0013	אָבְדַן	'obdan
0014	אבה	'abah
0015	אָבִי	'abeh
0016	אֵבֶה	'ebeh
0017	אֲבוֹי	'abowy
0018	אֵבוּס	'ebuwc
0019	אִבְחָה	'ibchah
0020	אֲבַטִּיחַ	'abattiyach
0021	אֲבִי	'Abiy
0022	אֲבִיאֵל	'Abiy'el
0023	אֲבִיאָסָף	'Abiy'acaph
0024	אָבִיב	'abiyb
0025	אֲבִי	<A CLASS="u">&#x05D2;&#x05B4;&#x05D1;&#x05B0;&#x05E2;&#xFB4B;&#x05DF;</A> 'Abiy Gib`own
0026	אֲבִיגַיִל	'Abiygayil
0027	אֲבִידָן	'Abiydan
0028	אֲבִידָע	'Abiyda`
0029	אֲבִיָּה	'Abiyah
0030	אֲבִיהוּא	'Abiyhuw'
0031	אֲבִיהוּד	'Abiyhuwd
0032	אֲבִיהַיִל	'Abiyhayil
0033	אֲבִי	<A CLASS="u">&#x05D4;&#x05B8;&#x05E2;&#x05B6;&#x05D6;&#x05B0;&#x05E8;&#x05B4;&#x05D9;</A> 'Abiy ha-`Ezriy
0034	אֶבְיוֹן	'ebyown
0035	אֲבִיּוֹנָה	'abiyownah
0036	אֲבִיטוּב	'Abiytuwb
0037	אֲבִיטַל	'Abiytal
0038	אֲבִיָּם	'Abiyam
0039	אֲבִימָאֵל	'Abiyma'el
0040	אֲבִימֶלֶךְ	'Abiymelek
0041	אֲבִינָדָב	'Abiynadab
0042	אֲבִינֹעַם	'Abiyno`am
0043	אֶבְיָסָף	'Ebyacaph
0044	אֲבִיעֶזֶר	'Abiy`ezer
0045	אֲבִי־עַלְבוֹן	'Abiy-`albown
0046	אָבִיר	'abiyr
0047	אַבִּיר	'abbiyr
0048	אֲבִירָם	'Abiyram
0049	אֲבִישַׁג	'Abiyshag
0050	אֲבִישׁוּעַ	'Abiyshuwae
0051	אֲבִישׁוּר	'Abiyshuwr
0052	אֲבִישַׁי	'Abiyshay
0053	אַבְשָׁלוֹם	'Abiyshalowm
0054	אֶבְיָתָר	'Ebyathar
0055	אָבַךְ	'abak
0056	אָבַל	'abal
0057	אָבֵל	'abel
0058	אָבֵל	'abel
0059	אָבֵל	'Abel
0060	אֵבֶל	'ebel
0061	אֲבָל	'abal
0062	אָבֵל	<A CLASS="u">&#x05D1;&#x05BC;&#x05B5;&#x05D9;&#x05EA;&#x05BE;&#x05DE;&#x05B7;&#x05E2;&#x05B2;&#x05DB;&#x05B8;&#x05D4;</A> 'Abel Beyth-Ma`akah
0063	אָבֵל	<A CLASS="u">&#x05D4;&#x05B7;&#x05E9;&#x05C1;&#x05BC;&#x05B4;&#x05D8;&#x05BC;&#x05B4;&#x05D9;&#x05DD;</A> 'Abel hash-Shittiym
0064	אָבֵל	<A CLASS="u">&#x05DB;&#x05BC;&#x05B0;&#x05E8;&#x05B8;&#x05DE;&#x05B4;&#x05D9;&#x05DD;</A> 'Abel K@ramiym
0065	אָבֵל	<A CLASS="u">&#x05DE;&#x05B0;&#x05D7;&#xFB4B;&#x05DC;&#x05B8;&#x05D4;</A> 'Abel M@chowlah
0066	אָבֵל	<A CLASS="u">&#x05DE;&#x05B8;&#x05D9;&#x05B4;&#x05DD;</A> 'Abel Mayim
0067	אָבֵל	<A CLASS="u">&#x05DE;&#x05B4;&#x05E6;&#x05B0;&#x05E8;&#x05B7;&#x05D9;&#x05B4;&#x05DD;</A> 'Abel Mitsrayim
0068	אֶבֶן	'eben
0069	אֶבֶן	'eben
0070	אֹבֶן	'oben
0071	אֲבָנָה	'Abanah
0072	אֶבֶן	<A CLASS="u">&#x05D4;&#x05B8;&#x05E2;&#x05B5;&#x05D6;&#x05B6;&#x05E8;</A> 'Eben ha-`ezer
0073	אַבְנֵט	'abnet
0074	אַבְנֵר	'Abner
0075	אָבַס	'abac
0076	אֲבַעְבֻּעָה	'aba`bu`ah
0077	אֶבֶץ	'Ebets
0078	אִבְצָן	'Ibtsan
0079	אָבַק	'abaq
0080	אָבָק	'abaq
0081	אַבְקָה	'abaqah
0082	אָבַר	'abar
0083	אֵבֶר	'eber
0084	אֶבְרָה	'ebrah
0085	אַבְרָהָם	'Abraham
0086	אַבְרֵךְ	'abrek
0087	אַבְרָם	'Abram
0088	אֹבֹת	'oboth
0089	אָגֵא	'Age'
0090	אֲגַג	'Agag
0091	אֲגָגִי	'Agagiy
0092	אֲגֻדָּה	'aguddah
0093	אֱגוֹז	'egowz
0094	אָגוּר	'Aguwr
0095	אֲגוֹרָה	'agowrah
0096	אֶגֶל	'egel
0097	אֶגְלַיִם	'Eglayim
0098	אֲגַם	'agam
0099	אָגֵם	'agem
0100	אַגְמוֹן	'agmown
0101	אַגָּן	'aggan
0102	אֲגַף	'aggaph
0103	אָגַר	'agar
0104	אִגְּרָה	'igg@ra'
0105	אֲגַרְטָל	'agartal
0106	אֶגְרוֹף	'egroph
0107	אִגֶּרֶת	'iggereth
0108	אֵד	'ed
0109	אָדַב	'adab
0110	אַדְבְּאֵל	'Adb@'el
0111	אֲדַד	'Adad
0112	אִדּוֹ	'Iddow
0113	אָדוֹן	'adown
0114	אַדּוֹן	'Addown
0115	אֲדוֹרַיִם	'Adowrayim
0116	אֱדַיִן	'edayin
0117	אַדִּיר	'addiyr
0118	אֲדַלְיָא	'Adalya'
0119	אָדַם	'adam
0120	אָדָם	'adam
0121	אָדָם	'Adam
0122	אָדֹם	'adom
0123	אֱדֹם	'Edom
0124	אֹדֶם	'odem
0125	אֲדַמְדַּם	'adamdam
0126	אַדְמָה	'Admah
0127	אֲדָמָה	'adamah
0128	אֲדָמָה	'Adamah
0129	אֲדָמִי	'Adamiy
0130	אֲדֹמִי	'Edomiy
0131	אֲדֻמִּים	'Adummiym
0132	אַדְמֹנִי	'admoniy
0133	אַדְמָתָא	'Admatha'
0134	אֶדֶן	'eden
0135	אַדָּן	'Addan
0136	אֲדֹנָי	'Adonay
0137	אֲדֹנִי	<A CLASS="u">&#x05D1;&#x05BC;&#x05B6;&#x05D6;&#x05B6;&#x05E7;</A> 'Adoniy-Bezeq
0138	אֲדֹנִיָּהוּ	'Adoniyah
0139	אֲדֹנִי־צֶדֶק	'Adoniy-Tsedeq
0140	אֲדֹנִיקָם	'Adoniyqam
0141	אֲדֹנִירָם	'Adoniyram
0142	אָדַר	'adar
0143	אֲדָר	'Adar
0144	אֲדָר	'Adar
0145	אֶדֶר	'eder
0146	אַדָּר	'Addar
0147	אִדַּר	'iddar
0148	אֲדַרְגָּזֵר	'adargazer
0149	אַדְרַזדָא	'adrazda'
0150	אֲדַרְכּוֹן	'adarkon
0151	אֲדֹרָם	'Adoram
0152	אַדְרַמֶּלֶךְ	'Adrammelek
0153	אֶדְרָע	'edra`
0154	אֶדְרֶעִי	'edre`iy
0155	אַדֶּרֶת	'addereth
0156	דּושׁ	'adash
0157	אָהַב	'ahab
0158	אַהַב	'ahab
0159	אֹהַב	'ohab
0160	אַהֲבָה	'ahabah
0161	אֹהַד	'Ohad
0162	אֲהָהּ	'ahahh
0163	אַהֲוָא	'Ahava'
0164	אֵהוּד	'Ehuwd
0165	אֱהִי	'ehiy
0166	אָהַל	'ahal
0167	אָהַל	'ahal
0168	אֹהֶל	'ohel
0169	אֹהֶל	'Ohel
0170	אָהֳלָה	'Oholah
0171	אָהֳלִיאָב	'Oholiy'ab
0172	אָהֳלִיבָה	'Oholiybah
0173	אָהֳלִיבָמָה	'Oholiybamah
0174	אֲהָלִים	'ahaliym
0175	אַהֲרֹן	'Aharown
0176	אוֹ	'ow
0177	אוּאֵל	'Uw'el
0178	אוֹב	'owb
0179	אוֹבִיל	'owbiyl
0180	אוּבָל	'uwbal
0181	אוּד	'uwd
0182	אוֹדוֹת	'owdowth
